recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-001614,6-Jun-21,Mercedes-Benz,"GLA, GLC",2020,5,"Due to a software issue, the automatic network search of the emergency call system (eCall) communication module may be deactivated. In this case, the automatic and manual emergency call may not be available outside of the network coverage of certain providers. Due to a software issue, the automatic network search of the emergency call system (eCall) communication module may be deactivated. In this case, the automatic and manual emergency call may not be available outside of the network coverage of certain providers. What are the hazards? If the eCall system is deactivated, in the event of an emergency it would not be possible for the vehicle occupants to connect with emergency services, either manually or automatically. As a consequence, emergency vehicles may not be directed to the affected vehicle or may be delayed. This could increase the risk of death if a serious injury has occurred.",https://www.vehiclerecalls.gov.au/recalls/rec-001614
REC-001615,20-Jun-21,KIA,"CARNIVAL, SORENTO",2021,767,"The fuel supply pipe may have been damaged during manufacturing, which may result in a fuel leak. The fuel supply pipe may have been damaged during manufacturing, which may result in a fuel leak. What are the hazards? If a fuel leak occurs, this can result in an engine compartment fire. A vehicle fire could increase the risk of an accident, serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001615
REC-001617,6-Jun-21,Mercedes-Benz,"AMG A45 S, AMG GLA 45S",2020,7,The spark plugs in vehicles may not meet specification. As a result the spark plugs may fail during regular use. The spark plugs in vehicles may not meet specification. As a result the spark plugs may fail during regular use. What are the hazards? If the spark plugs fail and parts enter the combustion chamber this could lead to engine damage. An engine stall may occur which would increase the risk of an accident and injury or death to vehicle occupants and other road users.,https://www.vehiclerecalls.gov.au/recalls/rec-001617
REC-001618,2-Jun-21,Mercedes-Benz,AMG GT 53,2019 - 2020,15,"The wheel hub covers may not have been manufactured correctly and may detach from the wheel hub. The wheel hub covers may not have been manufactured correctly and may detach from the wheel hub. What are the hazards? If the wheel hub detaches while driving, it may impact other vehicles or road users or result in an increased risk of accident or injury.",https://www.vehiclerecalls.gov.au/recalls/rec-001618
REC-001620,20-Jun-21,SUZUKI,JIMNY,2019 - 2020,"2,806","The door harness wires on both the driver and passenger doors could be damaged or cut by the repeated motion of opening or closing the doors. The door harness wires on both the driver and passenger doors could be damaged or cut by the repeated motion of opening or closing the doors. What are the hazards? If the wires are cut or damaged, this may cause the curtain and side airbags to not deploy correctly. In the event of an accident, this could increase the risk of serious injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001620
REC-001621,20-Jun-21,SUZUKI,JIMNY,2018,166,"Due to an incorrect manufacturing process, a component within the fuel pump could swell, causing the fuel pump to become inoperative. Due to an incorrect manufacturing process, a component within the fuel pump could swell, causing the fuel pump to become inoperative. What are the hazards? If the fuel pump stops working, this could stop the engine while driving. This may increase the risk of an accident resulting in serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001621
REC-001623,13-Sep-21,HYUNDAI,"KONA, VELOSTER",2018 - 2020 2019,"15,371","The piston rings assembled in engines may be defective, which can cause damage to the piston rings and cylinder bore. The piston rings assembled in engines may be defective, which can cause damage to the piston rings and cylinder bore. What are the hazards? A damaged engine may result in the vehicle staling and/or engine oil leaking, increasing the risk of an accident and/or vehicle fire causing injury or death to vehicle occupants and other road users or damage property.",https://www.vehiclerecalls.gov.au/recalls/rec-001623
REC-001624,20-Jun-21,SUZUKI,JIMNY,2018 - 2020,"1,231","The door harness wires on both the driver and passenger doors could be damaged or cut by the repeated motion of opening or closing the doors. The door harness wires on both the driver and passenger doors could be damaged or cut by the repeated motion of opening or closing the doors. What are the hazards? If the wires are cut or damaged, this may cause the curtain and side airbags to not deploy correctly. In the event of an accident, this could increase the risk of serious injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001624
REC-001625,20-Jun-21,SUZUKI,JIMNY,2018,40,"Due to an incorrect manufacturing process, a component within the fuel pump could swell, causing the fuel pump to become inoperative. Due to an incorrect manufacturing process, a component within the fuel pump could swell, causing the fuel pump to become inoperative. What are the hazards? If the fuel pump malfunctions, the engine could stall while driving. This may increase the risk of an accident, resulting in serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001625
REC-001626,20-Jun-21,JEEP,CHEROKEE,2021,203,"The transmission oil cooler (TOC) hose may have been manufactured with incorrectly cured rubber. This rubber can rupture, allowing transmission fluid to leak. The transmission oil cooler (TOC) hose may have been manufactured with incorrectly cured rubber. This rubber can rupture, allowing transmission fluid to leak. What are the hazards? Transmission fluid leaking from a TOC hose may contact an ignition source, leading to a vehicle fire. A vehicle fire may increase the risk of injury or death of vehicle occupants and/or bystanders, as well as property damage.",https://www.vehiclerecalls.gov.au/recalls/rec-001626
REC-001627,20-Jun-21,Volvo,XC90,2017 - 2020,11,"If there is liquid or liquid droplets on the rear seat control display, the system may perceive this as a constant touch. If there is liquid or liquid droplets on the rear seat control display, the system may perceive this as a constant touch. What are the hazards? If this occurs when the front passenger seat control is selected, the front passenger seat may be moved forward or backwards until it reaches its end position. This may result in injury to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001627
REC-001628,23-May-21,JAGUAR,E-PACE,2020 - 2021,134,"An incorrect wiring harness configuration to the restraints control module (RCM) links the wrong seat belt buckle. This can cause the driver's seatbelt pre-tensioner to not function, unless the front passenger seat is occupied. An incorrect wiring harness configuration to the restraints control module (RCM) links the wrong seat belt buckle. This can cause the driver's seatbelt pre-tensioner to not function, unless the front passenger seat is occupied. What are the hazards? In the event of an accident, the driver's seat belt pre-tensioner may not operate when required. This could increase the risk of injury or, in the case of a serious accident, increase the risk of death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001628
